linha,coluna,valor,motivo
246,data_emissao_recebimento,,Data inválida — ignorada
247,data_emissao_recebimento,,Data inválida — ignorada
248,data_emissao_recebimento,,Data inválida — ignorada
249,data_emissao_recebimento,,Data inválida — ignorada
250,data_emissao_recebimento,,Data inválida — ignorada
251,data_emissao_recebimento,,Data inválida — ignorada
252,data_emissao_recebimento,,Data inválida — ignorada
253,data_emissao_recebimento,,Data inválida — ignorada
254,data_emissao_recebimento,,Data inválida — ignorada
255,data_emissao_recebimento,,Data inválida — ignorada
256,data_emissao_recebimento,,Data inválida — ignorada
257,data_emissao_recebimento,,Data inválida — ignorada
258,data_emissao_recebimento,,Data inválida — ignorada
259,vencimento,Bonificado,Data inválida — ignorada
259,data_emissao_recebimento,,Data inválida — ignorada
260,vencimento,Bonificado,Data inválida — ignorada
260,data_emissao_recebimento,,Data inválida — ignorada
261,data_emissao_recebimento,,Data inválida — ignorada
262,data_emissao_recebimento,,Data inválida — ignorada
263,data_emissao_recebimento,,Data inválida — ignorada
264,data_emissao_recebimento,,Data inválida — ignorada
265,vencimento,Permuta,Data inválida — ignorada
265,data_emissao_recebimento,,Data inválida — ignorada
266,data_emissao_recebimento,,Data inválida — ignorada
267,data_emissao_recebimento,,Data inválida — ignorada
268,data_emissao_recebimento,,Data inválida — ignorada
269,data_emissao_recebimento,,Data inválida — ignorada
270,data_emissao_recebimento,,Data inválida — ignorada
271,vencimento,C/APRES,Data inválida — ignorada
271,data_emissao_recebimento,,Data inválida — ignorada
272,data_emissao_recebimento,,Data inválida — ignorada
273,data_emissao_recebimento,,Data inválida — ignorada
274,data_final_veiculacao,99/99/9999,Data inválida — ignorada
274,data_emissao_recebimento,,Data inválida — ignorada
274,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
275,data_emissao_recebimento,,Data inválida — ignorada
276,data_emissao_recebimento,,Data inválida — ignorada
277,vencimento,Bonificado,Data inválida — ignorada
277,data_emissao_recebimento,,Data inválida — ignorada
278,data_emissao_recebimento,,Data inválida — ignorada
279,data_emissao_recebimento,,Data inválida — ignorada
280,data_emissao_recebimento,,Data inválida — ignorada
281,data_emissao_recebimento,,Data inválida — ignorada
282,data_emissao_recebimento,,Data inválida — ignorada
283,vencimento,Permuta,Data inválida — ignorada
283,data_emissao_recebimento,,Data inválida — ignorada
284,vencimento,C/APRES,Data inválida — ignorada
284,data_emissao_recebimento,,Data inválida — ignorada
285,data_emissao_recebimento,,Data inválida — ignorada
286,data_emissao_recebimento,,Data inválida — ignorada
287,data_emissao_recebimento,,Data inválida — ignorada
288,data_emissao_recebimento,,Data inválida — ignorada
289,data_emissao_recebimento,,Data inválida — ignorada
290,data_emissao_recebimento,,Data inválida — ignorada
291,data_emissao_recebimento,,Data inválida — ignorada
292,data_emissao_recebimento,,Data inválida — ignorada
293,data_emissao_recebimento,,Data inválida — ignorada
294,vencimento,Permuta,Data inválida — ignorada
294,data_emissao_recebimento,,Data inválida — ignorada
295,vencimento,Permuta,Data inválida — ignorada
295,data_emissao_recebimento,,Data inválida — ignorada
296,data_emissao_recebimento,,Data inválida — ignorada
297,data_emissao_recebimento,,Data inválida — ignorada
298,data_emissao_recebimento,,Data inválida — ignorada
299,data_final_veiculacao,99/99/9999,Data inválida — ignorada
